region,ym,total_amt,total_cnt,avg_amt_per_cnt,n_open,n_close,top1_brand_index
부천시,2022-01,5680298121,768444,7391.948041757109,12,7,3222700
부천시,2022-02,4892196135,676391,7232.793066436425,17,12,3033530
부천시,2022-03,5938257845,842184,7051.021920387943,15,12,2886248
부천시,2022-04,7207481948,1013807,7109.3235181844275,19,9,3908133
부천시,2022-05,8133977178,1149164,7078.169154272149,20,7,4039414
부천시,2022-06,7860580037,1128320,6966.622976637833,14,12,4662439
부천시,2022-07,8240324210,1150446,7162.7214228221055,19,6,3910760
부천시,2022-08,7858244916,1107724,7094.045913964128,15,8,1577062
부천시,2022-09,7987227568,1153577,6923.8790024419695,23,12,2453879
부천시,2022-10,7922969751,1132746,6994.480449279891,9,18,3996641
부천시,2022-11,7051489796,1020455,6910.142824524354,18,14,3866161
부천시,2022-12,7327835190,949538,7717.263753530664,21,42,3902574
부천시,2023-01,7260542093,935369,7762.222281260123,14,13,3991176
부천시,2023-02,7156956399,927787,7714.008063273143,11,20,3070165
부천시,2023-03,8425732158,1178063,7152.191485514782,10,15,3476260
부천시,2023-04,8625024546,1218362,7079.196943108863,19,15,3480308
부천시,2023-05,9290710999,1345046,6907.3555841212865,20,13,3169235
부천시,2023-06,9583370915,1392123,6883.9972581445745,19,17,3681934
부천시,2023-07,9995191513,1391233,7184.4123256133225,18,13,4703854
부천시,2023-08,9985027087,1403689,7113.418347653932,14,13,4470393
부천시,2023-09,9522504494,1372814,6936.48556468684,15,18,4625360
부천시,2023-10,9158078720,1349259,6787.487591337171,12,19,4147798
부천시,2023-11,7984655053,1135080,7034.442552947809,9,27,3795310
부천시,2023-12,8672169292,1119196,7748.570663226102,11,41,3990732
부천시,2024-01,8174695894,1121095,7291.706674278273,8,12,3174190
부천시,2024-02,8329250188,1142503,7290.353012639792,8,15,3194576
부천시,2024-03,9479500768,1306156,7257.556347021336,9,17,3299648
부천시,2024-04,9916165997,1447078,6852.544228438273,18,13,3511967
부천시,2024-05,9108412678,1300878,7001.742421656758,7,19,3460531
부천시,2024-06,9231508210,1343962,6868.875913158259,7,8,3589736
부천시,2024-07,10180483906,1422788,7155.306276128278,5,15,2873807
부천시,2024-08,10728522906,1498382,7160.071934927141,4,8,3256107
부천시,2024-09,9866156484,1401987,7037.266739277897,5,11,3604583
부천시,2024-10,9437004715,1371249,6882.0503898270845,4,16,5512977
부천시,2024-11,8452868219,1203894,7021.2728188694355,4,17,4066719
부천시,2024-12,8973442206,1172022,7656.3769331975,3,45,4060747
수원시,2022-01,17002136877,1655475,10270.246833688216,27,18,3222700
수원시,2022-02,14508199782,1433051,10123.994039290996,21,25,3033530
수원시,2022-03,17809871331,1788888,9955.83364134591,37,15,2886248
수원시,2022-04,22306884215,2167215,10292.880131874317,38,15,3908133
수원시,2022-05,24303405801,2377708,10221.358468323277,28,20,4039414
수원시,2022-06,22974083249,2322412,9892.33747026798,32,15,4662439
수원시,2022-07,22949893504,2333845,9833.512295803706,30,18,3910760
수원시,2022-08,21944048320,2282296,9614.900223283921,28,18,1577062
수원시,2022-09,22998193403,2326237,9886.436078095225,29,22,2453879
수원시,2022-10,24085535833,2352781,10237.049616177621,20,21,3996641
수원시,2022-11,21829806924,2141614,10193.156621127804,20,35,3866161
수원시,2022-12,22611691253,2030328,11136.964693881973,20,53,3902574
수원시,2023-01,20529276097,1921411,10684.479321186358,16,17,3991176
수원시,2023-02,20570670661,1931572,10649.704313895625,19,30,3070165
수원시,2023-03,24641155174,2427142,10152.333556915912,21,17,3476260
수원시,2023-04,24898001440,2504579,9940.992653855199,11,24,3480308
수원시,2023-05,26149799187,2657673,9839.359163824894,24,25,3169235
수원시,2023-06,25641684143,2729045,9395.845119080117,20,28,3681934
수원시,2023-07,25671552866,2673670,9601.61608051854,14,18,4703854
수원시,2023-08,24926427443,2713498,9186.086535903103,20,20,4470393
수원시,2023-09,24992657399,2642018,9459.684755743527,16,23,4625360
수원시,2023-10,25786020495,2679000,9625.2409462486,24,23,4147798
수원시,2023-11,22981933629,2292897,10023.099000522046,10,29,3795310
수원시,2023-12,24287430915,2280460,10650.233248993623,11,61,3990732
수원시,2024-01,21505598228,2251059,9553.54712071074,22,36,3174190
수원시,2024-02,21306367066,2301070,9259.330253316935,11,13,3194576
수원시,2024-03,24936232616,2688661,9274.591559144124,15,18,3299648
수원시,2024-04,25239784703,2881716,8758.59546985199,21,17,3511967
수원시,2024-05,25703576881,2919930,8802.805848427874,16,19,3460531
수원시,2024-06,25277317105,2943143,8588.545342513089,15,14,3589736
수원시,2024-07,24088625397,2826594,8522.138445422299,12,12,2873807
수원시,2024-08,25010059694,2974073,8409.363083555783,13,22,3256107
수원시,2024-09,23767108765,2746648,8653.132387186126,17,25,3604583
수원시,2024-10,24365171241,2741652,8887.040091521461,19,25,5512977
수원시,2024-11,22857300786,2447059,9340.723205284385,16,38,4066719
수원시,2024-12,23680369499,2394108,9891.103283143451,13,50,4060747
안산시,2022-01,5258101813,649809,8091.765138679212,12,6,3222700
안산시,2022-02,4577890839,569948,8032.120191666608,6,3,3033530
안산시,2022-03,5491792286,708948,7746.39647195563,9,8,2886248
안산시,2022-04,6664968377,850695,7834.733220484428,13,11,3908133
안산시,2022-05,7806369194,971219,8037.702304011763,12,6,4039414
안산시,2022-06,7411783257,940378,7881.7063531898875,14,10,4662439
안산시,2022-07,7875076249,977027,8060.244239923769,13,16,3910760
안산시,2022-08,7498230411,941770,7961.848870743387,11,9,1577062
안산시,2022-09,7431940383,961358,7730.668890257323,11,5,2453879
안산시,2022-10,7450291460,961044,7752.289655832616,12,7,3996641
안산시,2022-11,6560733308,857520,7650.822497434462,12,13,3866161
안산시,2022-12,7001051585,835179,8382.695907104944,12,30,3902574
안산시,2023-01,6713200040,807012,8318.587629428062,4,5,3991176
안산시,2023-02,6557947451,797943,8218.56630235493,7,8,3070165
안산시,2023-03,7853237973,994137,7899.553052547083,9,19,3476260
안산시,2023-04,7868567153,1017638,7732.186841489803,6,11,3480308
안산시,2023-05,8639088169,1112119,7768.132878765672,14,8,3169235
안산시,2023-06,8729473572,1138332,7668.653408671636,15,7,3681934
안산시,2023-07,9021948059,1139556,7917.073017034705,18,6,4703854
안산시,2023-08,9200333306,1159813,7932.600605442429,4,18,4470393
안산시,2023-09,8666541316,1122567,7720.288691899905,12,7,4625360
안산시,2023-10,8372391112,1095466,7642.7667421900815,10,4,4147798
안산시,2023-11,7078584571,917558,7714.590871639722,9,19,3795310
안산시,2023-12,7720119805,928841,8311.562264155005,4,25,3990732
안산시,2024-01,7140311680,911570,7832.982305253574,10,6,3174190
안산시,2024-02,7027536067,887301,7920.126391157003,5,4,3194576
안산시,2024-03,7974053101,1004526,7938.125146586549,8,14,3299648
안산시,2024-04,8115446815,1091024,7438.376071470472,5,11,3511967
안산시,2024-05,8417792007,1107960,7597.559484999459,8,3,3460531
안산시,2024-06,8671750234,1145545,7569.977813180626,7,4,3589736
안산시,2024-07,8492455074,1101426,7710.418197863497,8,11,2873807
안산시,2024-08,9129752621,1167089,7822.670439872195,13,4,3256107
안산시,2024-09,8436812974,1086799,7762.992949018172,5,4,3604583
안산시,2024-10,7987761107,1047194,7627.775853375783,9,13,5512977
안산시,2024-11,7046065475,919731,7661.006832432527,7,18,4066719
안산시,2024-12,7504234953,901099,8327.869582587486,6,23,4060747
안양시,2022-01,5186792103,624377,8307.147929856481,14,3,3222700
안양시,2022-02,4439765312,541768,8194.9567194814,10,7,3033530
안양시,2022-03,5189494273,658691,7878.49579393069,16,17,2886248
안양시,2022-04,6274134358,794149,7900.449862683199,8,6,3908133
안양시,2022-05,6880101529,876853,7846.356834041738,13,7,4039414
안양시,2022-06,6613291393,865647,7639.709249844336,12,11,4662439
안양시,2022-07,6940048271,887739,7817.667434910486,7,6,3910760
안양시,2022-08,6695336915,860949,7776.693991165563,12,5,1577062
안양시,2022-09,6639560914,867511,7653.575475123658,11,9,2453879
안양시,2022-10,6468934231,844153,7663.224831280585,7,6,3996641
안양시,2022-11,5934997242,773061,7677.268989122463,10,14,3866161
안양시,2022-12,6060338417,723052,8381.607985317793,7,13,3902574
안양시,2023-01,5973578982,711554,8395.116859718306,6,10,3991176
안양시,2023-02,5918029727,715324,8273.215671499907,8,3,3070165
안양시,2023-03,6932543313,859777,8063.187678898133,16,10,3476260
안양시,2023-04,6731092548,866945,7764.151760492304,8,12,3480308
안양시,2023-05,7187348662,952637,7544.687705810293,14,9,3169235
안양시,2023-06,7476492190,1009105,7409.032945035452,14,9,3681934
안양시,2023-07,7869212777,1022411,7696.721550335433,9,9,4703854
안양시,2023-08,7798060028,1029411,7575.263940253213,13,11,4470393
안양시,2023-09,7263758577,983401,7386.364847096963,6,7,4625360
안양시,2023-10,6960134132,961219,7240.9452289228575,6,9,4147798
안양시,2023-11,6135142261,824282,7443.013751361791,11,11,3795310
안양시,2023-12,6920133108,825099,8387.033686866667,7,24,3990732
안양시,2024-01,6545546503,867701,7543.550719660344,11,13,3174190
안양시,2024-02,6485465052,844782,7677.087168050456,8,6,3194576
안양시,2024-03,7356567716,931470,7897.80424060893,14,8,3299648
안양시,2024-04,7489696866,1011860,7401.910210898741,15,15,3511967
안양시,2024-05,7728727748,1036443,7456.97327108196,9,10,3460531
안양시,2024-06,7887681936,1070846,7365.841527166372,5,8,3589736
안양시,2024-07,7953572998,1059268,7508.55590653168,10,9,2873807
안양시,2024-08,8221714086,1095997,7501.584480614454,9,5,3256107
안양시,2024-09,7417725588,1005958,7373.792532093786,12,9,3604583
안양시,2024-10,7121618827,980598,7262.526363504719,5,6,5512977
안양시,2024-11,6530237493,876844,7447.433629014968,3,11,4066719
안양시,2024-12,7077218758,855170,8275.803358396575,6,21,4060747
용인시,2022-01,13133176358,1176087,11166.840852760042,13,18,3222700
용인시,2022-02,11714018042,1027006,11405.987931910817,27,16,3033530
용인시,2022-03,15473480942,1294988,11948.744654004517,14,10,2886248
용인시,2022-04,17919358616,1521384,11778.32724414086,27,15,3908133
용인시,2022-05,19998970145,1670731,11970.191577818332,21,7,4039414
용인시,2022-06,19427185663,1650291,11771.975768515977,22,21,4662439
용인시,2022-07,19759274687,1668804,11840.380707980086,23,12,3910760
용인시,2022-08,18446301360,1616737,11409.58693961974,20,14,1577062
용인시,2022-09,18949938546,1682696,11261.653053195587,16,13,2453879
용인시,2022-10,19703633342,1693025,11638.12308855451,14,18,3996641
용인시,2022-11,17468386651,1516677,11517.53910094239,11,25,3866161
용인시,2022-12,15288463344,1406787,10867.646163918205,5,27,3902574
용인시,2023-01,14387245246,1330084,10816.794462605369,14,29,3991176
용인시,2023-02,14875962542,1332988,11159.862310838507,9,7,3070165
용인시,2023-03,19159612750,1712995,11184.862039877524,13,16,3476260
용인시,2023-04,19819212127,1756199,11285.288356843388,20,12,3480308
용인시,2023-05,21154596438,1882582,11237.011953795372,14,12,3169235
용인시,2023-06,21209582320,1940811,10928.205951017384,15,14,3681934
용인시,2023-07,20481871354,1886316,10858.133713545345,12,9,4703854
용인시,2023-08,21100082904,1927928,10944.435115834201,13,15,4470393
용인시,2023-09,20128347509,1866554,10783.69418136309,10,13,4625360
용인시,2023-10,20087995997,1835515,10944.065287943711,8,27,4147798
용인시,2023-11,17398542906,1580655,11007.17291629103,13,26,3795310
용인시,2023-12,16936063418,1556357,10881.862848947896,8,37,3990732
용인시,2024-01,15070028842,1512959,9960.632668829758,9,22,3174190
용인시,2024-02,15395430350,1468806,10481.59549321013,14,18,3194576
용인시,2024-03,18759509064,1745815,10745.416360840067,16,12,3299648
용인시,2024-04,19563215322,1923276,10171.818980739114,13,19,3511967
용인시,2024-05,20246569574,1933131,10473.459674486623,19,17,3460531
용인시,2024-06,19924047545,1963303,10148.228543938454,14,16,3589736
용인시,2024-07,18625675517,1840671,10118.959616900576,11,13,2873807
용인시,2024-08,20006977349,1960433,10205.386947169325,23,8,3256107
용인시,2024-09,18890149868,1831742,10312.669506950215,11,16,3604583
용인시,2024-10,18893044928,1814012,10415.0606104039,13,9,5512977
용인시,2024-11,17087639435,1599374,10683.954744168655,11,22,4066719
용인시,2024-12,16501711737,1549857,10647.247931260756,11,39,4060747
화성시,2022-01,10149795585,1025640,9896.060591435591,18,8,3222700
화성시,2022-02,8928792194,901452,9904.900309722536,19,11,3033530
화성시,2022-03,11232527017,1127717,9960.412955555339,24,14,2886248
화성시,2022-04,12971192351,1341956,9665.88498505167,20,9,3908133
화성시,2022-05,14214602518,1490339,9537.8316731965,20,10,4039414
화성시,2022-06,14043638594,1480777,9483.965913841179,21,6,4662439
화성시,2022-07,14149063355,1507199,9387.654420550969,19,9,3910760
화성시,2022-08,14067562989,1481669,9494.403263481925,24,24,1577062
화성시,2022-09,14154374640,1484649,9533.818862236125,23,12,2453879
화성시,2022-10,14100333401,1471287,9583.672934648372,10,19,3996641
화성시,2022-11,12457301479,1322385,9420.328783977435,16,18,3866161
화성시,2022-12,12779713265,1240563,10301.54314210564,18,36,3902574
화성시,2023-01,12491688898,1219923,10239.735539046316,15,11,3991176
화성시,2023-02,12184520647,1218506,9999.557365330988,18,13,3070165
화성시,2023-03,14557163995,1526726,9534.88968878502,29,22,3476260
화성시,2023-04,14630443962,1568634,9326.869086096565,31,16,3480308
화성시,2023-05,16006937507,1715334,9331.67389383059,29,14,3169235
화성시,2023-06,16152443949,1777153,9088.943917040346,18,17,3681934
화성시,2023-07,16445724499,1756438,9363.111307657884,27,12,4703854
화성시,2023-08,16619472203,1803368,9215.796333859756,16,18,4470393
화성시,2023-09,15631099460,1720999,9082.573237985613,28,16,4625360
화성시,2023-10,15888250796,1712247,9279.18156434206,15,29,4147798
화성시,2023-11,13843683928,1456999,9501.505442351025,17,26,3795310
화성시,2023-12,14996637766,1472252,10186.1894336024,7,27,3990732
화성시,2024-01,14101826901,1450356,9723.010695994639,15,21,3174190
화성시,2024-02,13683293266,1392074,9829.429517396346,22,15,3194576
화성시,2024-03,15559837531,1608287,9674.789096100385,22,14,3299648
화성시,2024-04,15964416354,1747169,9137.305179979727,30,19,3511967
화성시,2024-05,16386578495,1758405,9319.00130800356,28,29,3460531
화성시,2024-06,16472870689,1785392,9226.47277964727,18,18,3589736
화성시,2024-07,15882043114,1721477,9225.82358869738,15,22,2873807
화성시,2024-08,16619167482,1818698,9137.947851704901,18,24,3256107
화성시,2024-09,15226088903,1672011,9106.45259092195,11,15,3604583
화성시,2024-10,15182970370,1667253,9106.578527673964,13,14,5512977
화성시,2024-11,13551214212,1467803,9232.311292455459,12,15,4066719
화성시,2024-12,14030667158,1415195,9914.299554478359,14,32,4060747
